time,temperature,humidity,pressure,noise,pm1,pm2_5,pm10
2023-03-18 13:42:40,17.55,71.06,994.04,1.5,2,8,8
2023-03-18 13:47:15,19.6,63.15,994.02,1.5,0,12,12
2023-03-18 13:48:00,19.84,62.75,993.99,1.5,2,8,22
2023-03-18 13:49:46,20.27,61.58,994.06,1.5,0,6,6
2023-03-18 13:50:42,20.46,61.29,994.02,1.5,0,6,6
2023-03-18 13:56:17,20.55,60.93,994.13,1.5,0,6,6
2023-03-18 15:16:39,21.6,57.69,994.08,1.5,0,12,12
2023-03-18 15:29:35,20.08,61.96,994.2,1.5,2,10,10
2023-03-18 16:45:21,21.4,58.29,994.7,1.5,2,8,8
2023-03-18 17:23:25,21.9,56.86,995.14,1.5,2,10,10
2023-03-18 17:30:10,21.96,56.69,995.18,1.5,2,10,20
2023-03-18 20:12:03,20.99,58.72,997.06,1.5,18,32,32
2023-03-18 20:18:36,20.96,58.81,997.05,1.5,8,34,34
2023-03-18 20:19:49,20.96,58.67,997.07,1.5,18,30,30
2023-03-18 20:21:40,21.03,58.4,997.08,1.5,12,24,24
2023-03-18 20:31:49,21.01,58.33,997.14,1.5,14,32,32
2023-03-18 20:42:08,21.6,56.78,997.31,1.5,12,28,28
